epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21982,1.15594,3.29419,1.82401,0.00442,1,0.1086,0.0778,0.20084,3.26105,1.05196,1.25e-05,1.25e-05,1.25e-05
2,3.96743,0.98511,3.12191,1.56063,0.00436,1,0.15319,0.11841,0.20597,3.26131,1.02853,3.73144e-05,3.73144e-05,3.73144e-05
3,5.55338,1.12355,3.28281,1.795,0.0042,1,0.11244,0.08882,0.20723,3.26269,1.01617,6.18813e-05,6.18813e-05,6.18813e-05
4,7.27166,0.93025,3.17794,1.58519,0.00397,1,0.2093,0.19337,0.27946,3.26276,1.07133,8.62006e-05,8.62006e-05,8.62006e-05
5,9.03851,0.62389,3.01371,1.34725,0.0042,1,0.29849,0.2697,0.3814,3.27764,1.1523,0.000110272,0.000110272,0.000110272
6,10.8457,0.439,2.96243,1.16038,0.0054,1,0.3016,0.24518,0.45496,3.2835,1.2002,0.000134097,0.000134097,0.000134097
7,12.6348,0.43588,2.80632,1.15856,0.01092,1,0.30387,0.23446,0.5612,3.28298,1.25122,0.000157674,0.000157674,0.000157674
8,14.4068,0.49927,2.85323,1.21844,0.01773,1,0.25236,0.19226,0.45766,3.28485,1.2343,0.000181003,0.000181003,0.000181003
9,16.2038,0.41162,2.72861,1.14004,0.01107,1,0.34378,0.26842,0.44078,3.27978,1.11697,0.000204085,0.000204085,0.000204085
10,18.0175,0.49501,2.7185,1.19771,0.0111,1,0.39351,0.32247,0.35321,3.25063,1.01312,0.000226919,0.000226919,0.000226919
11,19.828,0.38372,2.61753,1.10546,0.01144,1,0.33731,0.25694,0.44586,3.25155,1.16732,0.000249506,0.000249506,0.000249506
12,21.6582,0.45156,2.43384,1.17633,0.02116,1,0.3433,0.24701,0.56526,3.2657,1.3218,0.000271846,0.000271846,0.000271846
13,23.5814,0.41117,2.29063,1.12502,0.01585,1,0.33375,0.26021,0.81399,3.34174,1.83456,0.000293937,0.000293937,0.000293937
14,25.3743,0.44777,2.30761,1.12885,0.01542,1,0.36928,0.27266,0.85305,3.34725,1.81669,0.000315782,0.000315782,0.000315782
15,27.1966,0.42897,2.26775,1.11778,0.01689,1,0.38055,0.33905,0.56024,3.23193,1.3842,0.000337379,0.000337379,0.000337379
16,29.1088,0.38346,2.17873,1.08417,0.02928,1,0.40189,0.35494,0.52274,3.18093,1.17667,0.000358728,0.000358728,0.000358728
17,30.8935,0.48792,2.15874,1.15024,0.02832,1,0.45105,0.39257,0.41528,3.13243,1.04111,0.00037983,0.00037983,0.00037983
18,32.7305,0.49503,2.13073,1.16884,0.02337,1,0.5022,0.43394,0.35543,3.09898,0.95873,0.000400684,0.000400684,0.000400684
19,34.4881,0.40896,2.03738,1.09864,0.0244,1,0.51031,0.43324,0.43762,3.08909,1.07047,0.000421291,0.000421291,0.000421291
