epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.673,0.5695,2.8095,1.26711,0.02245,1,0.37085,0.30241,0.40385,3.17645,1.04577,0.000405093,0.000405093,0.000405093
2,19.996,0.43008,2.06179,1.1079,1,0.12432,0.67559,0.59749,0.51317,2.70048,1.05662,0.000813624,0.000813624,0.000813624
3,29.0092,0.41228,1.56992,1.0647,0.57758,0.58899,0.61852,0.49822,0.58504,2.36897,1.26385,0.00121391,0.00121391,0.00121391
4,38.0322,0.37916,1.35395,1.0425,0.54059,0.50228,0.55598,0.23592,0.87423,2.36132,1.39291,0.00121287,0.00121287,0.00121287
5,47.0071,0.36585,1.21895,1.02719,0.8111,0.83053,0.93823,0.87382,0.4106,1.02942,1.02205,0.0012005,0.0012005,0.0012005
6,56.0718,0.34656,1.1622,1.02028,0.76147,0.38509,0.38433,0.26201,0.99042,3.11957,2.39095,0.00118812,0.00118812,0.00118812
7,65.0542,0.33038,1.1338,1.01802,0.71734,0.48467,0.66408,0.57885,0.67622,2.46778,1.6933,0.00117575,0.00117575,0.00117575
8,74.0247,0.32514,1.03627,0.99606,0.35213,0.47728,0.46965,0.37465,0.73432,3.2138,1.61936,0.00116337,0.00116337,0.00116337
9,83.0464,0.323,0.99675,1.00235,0.9127,0.89773,0.95616,0.94279,0.24059,0.73262,0.70059,0.001151,0.001151,0.001151
10,92.2762,0.3044,0.93354,0.99003,0.83689,0.85005,0.92676,0.88568,0.23159,0.7194,0.67643,0.00113863,0.00113863,0.00113863
11,101.187,0.29413,0.91179,0.986,0.80319,0.6902,0.86806,0.85693,0.23992,1.402,0.71303,0.00112625,0.00112625,0.00112625
12,110.134,0.27541,0.83155,0.96938,0.98002,0.9553,0.99182,0.97286,0.25374,0.44664,0.69665,0.00111388,0.00111388,0.00111388
13,119.224,0.29498,0.86251,0.9749,0.86152,0.87987,0.96449,0.92351,0.29488,0.68415,0.81407,0.0011015,0.0011015,0.0011015
14,128.266,0.29281,0.85896,0.97233,0.88792,0.90586,0.97084,0.94856,0.22984,0.72219,0.6939,0.00108913,0.00108913,0.00108913
15,137.303,0.27439,0.78763,0.96909,0.66133,0.72578,0.79108,0.77226,0.21048,1.41458,0.65678,0.00107675,0.00107675,0.00107675
16,146.229,0.27838,0.82364,0.96827,0.9415,0.95548,0.995,0.92681,0.47481,0.48732,0.99591,0.00106437,0.00106437,0.00106437
17,155.262,0.2826,0.78315,0.97529,0.7348,0.96996,0.98627,0.96863,0.26203,0.47399,0.70944,0.001052,0.001052,0.001052
18,164.216,0.26617,0.74894,0.96612,0.86878,0.80299,0.9437,0.9071,0.42427,0.76953,0.97314,0.00103962,0.00103962,0.00103962
19,173.174,0.263,0.73329,0.9593,0.90177,0.88572,0.96849,0.94092,0.23753,0.54051,0.73308,0.00102725,0.00102725,0.00102725
20,182.104,0.26829,0.73253,0.97587,0.85194,0.91961,0.91656,0.71044,0.9975,0.66778,2.39966,0.00101488,0.00101488,0.00101488
21,191.054,0.26657,0.6871,0.96278,0.90717,0.86391,0.98051,0.94757,0.30876,0.65334,0.82297,0.0010025,0.0010025,0.0010025
22,199.986,0.25809,0.69091,0.9593,0.87935,0.91496,0.9943,0.98198,0.25206,0.43549,0.71102,0.000990125,0.000990125,0.000990125
23,209.037,0.27126,0.67878,0.96187,0.96133,0.96378,0.99313,0.9571,0.31923,0.35397,0.76585,0.00097775,0.00097775,0.00097775
24,217.99,0.25606,0.64992,0.96068,0.98393,0.96355,0.99473,0.99085,0.17271,0.32011,0.6224,0.000965375,0.000965375,0.000965375
25,227.066,0.25134,0.63341,0.9514,0.98995,0.98039,0.99448,0.98479,0.28486,0.30336,0.78611,0.000953,0.000953,0.000953
26,236.04,0.25017,0.65312,0.95511,0.81384,0.94979,0.98676,0.97715,0.20553,0.44328,0.64321,0.000940625,0.000940625,0.000940625
27,245.27,0.25435,0.66887,0.96307,0.73949,0.72888,0.92486,0.88909,0.27523,1.70143,0.74601,0.00092825,0.00092825,0.00092825
28,254.337,0.24561,0.6139,0.94921,0.90896,0.89931,0.97684,0.96681,0.24785,0.56327,0.70097,0.000915875,0.000915875,0.000915875
29,263.329,0.2279,0.57394,0.94439,0.93864,0.85873,0.98732,0.97503,0.22195,0.41676,0.66807,0.0009035,0.0009035,0.0009035
30,272.368,0.24314,0.61826,0.94505,0.95983,0.98698,0.99013,0.96327,0.30388,0.32824,0.79676,0.000891125,0.000891125,0.000891125
31,281.314,0.25122,0.60246,0.95727,0.96028,0.97479,0.995,0.97895,0.24118,0.32266,0.68317,0.00087875,0.00087875,0.00087875
32,290.338,0.23432,0.59355,0.94838,0.90624,0.9643,0.995,0.98254,0.24561,0.30952,0.68002,0.000866375,0.000866375,0.000866375
