epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,786.666,0.4853,2.04607,1.21074,0.72448,0.53493,0.84987,0.83009,0.42701,3.08548,1.07583,0.00332637,0.00332637,0.00332637
2,1586.03,0.33831,1.04926,1.03373,0.52986,0.74459,0.64353,0.61997,0.41463,3.882,1.12458,0.00659378,0.00659378,0.00659378
3,2421.39,0.36075,0.83919,1.03269,0.80777,0.75,0.88646,0.8681,0.35705,0.83788,0.9668,0.00979518,0.00979518,0.00979518
4,3244.01,0.35258,0.72063,1.01915,0.61712,0.85417,0.82924,0.81586,0.303,1.14207,0.81013,0.009703,0.009703,0.009703
5,4053.39,0.31057,0.61373,0.99275,0.47644,0.82801,0.65615,0.65256,0.29953,2.22699,0.82755,0.009604,0.009604,0.009604
6,4914.23,0.28298,0.54487,0.97687,0.78677,0.82848,0.74198,0.72695,0.40874,0.72569,1.0333,0.009505,0.009505,0.009505
7,5691.91,0.26716,0.50268,0.96598,0.6063,0.5,0.69527,0.68445,0.40407,3.20675,0.95625,0.009406,0.009406,0.009406
8,6469.37,0.24845,0.46891,0.95445,0.82293,0.625,0.85786,0.85759,0.30969,1.13177,0.92216,0.009307,0.009307,0.009307
9,7221.98,0.23913,0.44549,0.95258,0.47714,0.78333,0.76374,0.76257,0.26921,1.3672,0.85101,0.009208,0.009208,0.009208
10,7970.92,0.23238,0.43875,0.94953,0.77812,0.8273,0.82165,0.81458,0.28837,0.59738,0.82134,0.009109,0.009109,0.009109
11,8740.61,0.22083,0.41726,0.94527,0.57393,0.82316,0.67518,0.66616,0.29999,1.33437,0.85396,0.00901,0.00901,0.00901
12,9526.93,0.21397,0.39894,0.94118,0.71197,0.70833,0.87427,0.8707,0.23734,0.36063,0.71563,0.008911,0.008911,0.008911
13,10318.6,0.20718,0.38634,0.93756,0.69194,0.80236,0.82602,0.82247,0.34239,0.91229,0.97854,0.008812,0.008812,0.008812
14,11137.9,0.20199,0.36678,0.93635,0.7944,0.82851,0.8269,0.8269,0.25233,0.6511,0.77947,0.008713,0.008713,0.008713
15,11906.1,0.20045,0.35899,0.93097,0.70891,0.74745,0.77278,0.77269,0.25147,0.89381,0.81473,0.008614,0.008614,0.008614
16,12551.2,0.19512,0.34685,0.93028,0.90952,0.82836,0.88015,0.88015,0.26221,0.48186,0.82592,0.008515,0.008515,0.008515
17,12753.9,0.19146,0.33981,0.93065,0.72242,0.76593,0.68014,0.66177,0.34415,1.84741,0.90463,0.008416,0.008416,0.008416
18,12957.2,0.18923,0.33371,0.92802,0.8481,0.78984,0.74143,0.71829,0.39847,0.37593,0.97949,0.008317,0.008317,0.008317
19,13352,0.1812,0.31765,0.92519,0.69606,0.84521,0.87708,0.85918,0.34722,0.50273,0.81479,0.008218,0.008218,0.008218
20,14133.7,0.17828,0.31858,0.92213,0.6574,0.70833,0.75917,0.74781,0.25041,0.59239,0.75326,0.008119,0.008119,0.008119
21,14926.5,0.17909,0.31346,0.92236,0.82392,0.79963,0.85517,0.85517,0.25526,0.34372,0.83912,0.00802,0.00802,0.00802
22,15691.4,0.1791,0.31088,0.92159,0.77985,0.60101,0.72012,0.66805,0.70381,1.13387,0.9346,0.007921,0.007921,0.007921
23,16472.1,0.1772,0.30116,0.92335,0.75678,0.76118,0.85781,0.83769,0.36094,0.4758,0.83979,0.007822,0.007822,0.007822
24,17219.2,0.17428,0.29973,0.92162,0.96468,0.61806,0.84471,0.83981,0.47449,1.04638,0.83635,0.007723,0.007723,0.007723
25,18012,0.16806,0.29062,0.92012,0.90379,0.77359,0.93271,0.92517,0.34602,0.38784,0.82401,0.007624,0.007624,0.007624
26,18789.9,0.16683,0.28169,0.91919,0.87101,0.7861,0.86531,0.85961,0.23507,0.38684,0.76696,0.007525,0.007525,0.007525
27,19571.8,0.16593,0.28185,0.91856,0.90003,0.87318,0.88063,0.86487,0.28544,0.34878,0.7748,0.007426,0.007426,0.007426
28,20362.9,0.165,0.27655,0.9176,0.7629,0.85109,0.86915,0.86774,0.28559,0.37323,0.82851,0.007327,0.007327,0.007327
29,21149.1,0.16253,0.27012,0.91816,0.53833,0.75407,0.83574,0.83421,0.26542,1.22383,0.83664,0.007228,0.007228,0.007228
