epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14426,0.58265,2.81172,1.2775,0.02006,1,0.3853,0.34045,0.40957,3.22126,1.03119,0.000404762,0.000404762,0.000404762
2,16.9141,0.4092,2.0298,1.08698,0.87645,0.31761,0.62806,0.58502,0.38466,2.44752,1.01653,0.000813296,0.000813296,0.000813296
3,24.4375,0.42481,1.58496,1.07914,0.53406,0.37032,0.53392,0.29023,0.69814,8.47608,1.28325,0.00121358,0.00121358,0.00121358
4,31.9735,0.36848,1.37785,1.03416,0.74442,0.70853,0.81653,0.68541,0.56429,1.66693,1.07645,0.00121287,0.00121287,0.00121287
5,39.4738,0.36571,1.21578,1.02799,0.58546,0.5193,0.65232,0.52147,0.93019,1.74572,1.5457,0.0012005,0.0012005,0.0012005
6,47.0282,0.35424,1.13633,1.02652,0.82979,0.8354,0.89184,0.85062,0.42457,1.31958,0.89784,0.00118812,0.00118812,0.00118812
7,54.5525,0.31347,1.05651,1.00575,0.70872,0.79188,0.84057,0.79215,0.35519,1.23777,0.81284,0.00117575,0.00117575,0.00117575
8,64.3464,0.33107,1.04499,1.0104,0.72357,0.75343,0.83049,0.72842,0.36578,1.33957,0.86005,0.00116337,0.00116337,0.00116337
9,72.4847,0.31125,0.94599,0.99378,0.65544,0.85422,0.90247,0.89313,0.24256,1.11966,0.68657,0.001151,0.001151,0.001151
10,80.5837,0.30908,0.92996,0.99866,0.62877,0.80611,0.86001,0.60464,0.73731,2.04863,1.67801,0.00113863,0.00113863,0.00113863
11,88.5895,0.29852,0.90414,0.98831,0.75659,0.93996,0.95581,0.94802,0.19541,0.6294,0.63426,0.00112625,0.00112625,0.00112625
12,97.6066,0.28033,0.84592,0.96684,0.67315,0.74843,0.80375,0.74829,0.31937,1.6938,0.76153,0.00111388,0.00111388,0.00111388
13,107.376,0.2929,0.86354,0.97616,0.6368,0.8584,0.90155,0.79503,0.4899,1.41263,1.02419,0.0011015,0.0011015,0.0011015
14,117.037,0.2898,0.8206,0.97386,0.87478,0.93974,0.95202,0.90726,0.36204,0.59719,0.77607,0.00108913,0.00108913,0.00108913
15,126.837,0.27281,0.8148,0.96596,0.71773,0.90801,0.95656,0.94628,0.22683,0.75345,0.68862,0.00107675,0.00107675,0.00107675
16,136.692,0.26878,0.76875,0.96622,0.84833,0.84488,0.88741,0.88233,0.24434,0.70887,0.67303,0.00106437,0.00106437,0.00106437
17,146.744,0.28078,0.72883,0.97351,0.90514,0.96261,0.96066,0.93048,0.3011,0.44727,0.73821,0.001052,0.001052,0.001052
18,156.838,0.26882,0.72647,0.96571,0.52162,0.63786,0.67422,0.5923,0.5289,2.01232,1.15137,0.00103962,0.00103962,0.00103962
19,166.738,0.25924,0.70516,0.96015,0.87484,0.84405,0.95111,0.94495,0.23761,0.57581,0.68944,0.00102725,0.00102725,0.00102725
20,176.734,0.25557,0.65097,0.96103,0.89544,0.89972,0.95815,0.94194,0.23822,0.4567,0.67148,0.00101488,0.00101488,0.00101488
21,186.886,0.25526,0.68821,0.95644,0.9148,0.85726,0.95777,0.95054,0.21849,0.51569,0.66067,0.0010025,0.0010025,0.0010025
22,196.726,0.25326,0.6331,0.95718,0.85419,0.92052,0.96769,0.9667,0.18535,0.4225,0.60339,0.000990125,0.000990125,0.000990125
23,206.741,0.24937,0.6374,0.95318,0.82935,0.92372,0.95343,0.95046,0.22083,0.60938,0.65424,0.00097775,0.00097775,0.00097775
24,216.756,0.24843,0.65318,0.95155,0.78432,0.88286,0.92379,0.92259,0.21739,0.52246,0.63497,0.000965375,0.000965375,0.000965375
25,226.781,0.24414,0.63184,0.95258,0.92924,0.87425,0.96646,0.95118,0.27426,0.45051,0.69466,0.000953,0.000953,0.000953
