epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82907,1.07911,3.24118,1.75049,0.00447,1,0.0906,0.07123,0.20317,3.26084,1.03908,2.5e-05,2.5e-05,2.5e-05
2,4.49202,1.09636,3.24239,1.69453,0.00402,1,0.11962,0.09573,0.20363,3.25969,0.97005,6.18813e-05,6.18813e-05,6.18813e-05
3,6.30478,0.88747,3.17061,1.57644,0.00422,1,0.12049,0.10022,0.28797,3.26299,0.93862,9.802e-05,9.802e-05,9.802e-05
4,8.2528,0.4727,2.97236,1.14614,0.00612,1,0.33261,0.28454,0.43755,3.2762,1.17445,0.000133416,0.000133416,0.000133416
5,10.045,0.371,2.80566,1.1212,0.01281,1,0.30383,0.22369,0.64145,3.29005,1.54285,0.00016807,0.00016807,0.00016807
6,11.7722,0.49579,2.78574,1.21308,0.01259,1,0.28495,0.16419,0.64683,3.29905,1.68914,0.000201981,0.000201981,0.000201981
7,13.5865,0.45373,2.69975,1.12913,0.01096,1,0.28561,0.16938,0.5458,3.30079,1.42511,0.00023515,0.00023515,0.00023515
8,15.2999,0.43192,2.6384,1.15731,0.0107,1,0.311,0.24846,0.49041,3.26401,1.22038,0.000267576,0.000267576,0.000267576
9,17.0565,0.49571,2.60675,1.20776,0.01227,1,0.35685,0.31692,0.50574,3.23378,1.11364,0.00029926,0.00029926,0.00029926
10,18.8007,0.39279,2.46711,1.12113,0.01408,1,0.39179,0.34726,0.57003,3.24648,1.17085,0.000330201,0.000330201,0.000330201
11,20.6148,0.44511,2.55939,1.15856,0.01425,1,0.4157,0.38835,0.52619,3.27976,1.03537,0.0003604,0.0003604,0.0003604
12,22.3701,0.43098,2.32844,1.11461,0.01367,1,0.43639,0.35557,0.66152,3.32691,1.26742,0.000389856,0.000389856,0.000389856
13,24.1614,0.46643,2.31174,1.17666,0.01643,1,0.46323,0.33496,0.91048,3.3653,2.04991,0.00041857,0.00041857,0.00041857
14,25.8742,0.42297,2.27449,1.16899,0.01983,1,0.46881,0.35185,0.75147,3.3369,1.61732,0.000446541,0.000446541,0.000446541
15,27.6264,0.5907,2.14561,1.18848,0.01017,1,0.46864,0.36243,0.49786,3.22805,1.29751,0.00047377,0.00047377,0.00047377
16,29.344,0.38726,1.93947,1.05235,0.00942,1,0.52068,0.4165,0.43944,3.16534,1.19141,0.000500256,0.000500256,0.000500256
17,31.1662,0.41494,2.03016,1.08893,0.00802,1,0.5365,0.44757,0.44531,3.12402,1.34582,0.000526,0.000526,0.000526
18,32.8604,0.49754,2.04012,1.16166,0.00823,1,0.57941,0.45674,0.61626,3.0825,1.56676,0.000551001,0.000551001,0.000551001
19,34.6083,0.45153,1.92494,1.12455,0.00699,1,0.59179,0.4692,0.673,2.96022,1.67485,0.00057526,0.00057526,0.00057526
20,36.3428,0.41354,1.80143,1.08833,0.70712,0.36287,0.53413,0.43143,0.65367,2.88596,1.67053,0.000598776,0.000598776,0.000598776
21,38.0343,0.40341,1.78108,1.08143,0.84791,0.21429,0.49787,0.42428,0.53738,2.83927,1.32791,0.00062155,0.00062155,0.00062155
22,39.7382,0.42893,1.8182,1.10588,1,0.10585,0.58152,0.52383,0.50772,2.8658,1.15956,0.000643581,0.000643581,0.000643581
23,41.5166,0.39021,1.7911,1.08053,1,0.12988,0.64061,0.56466,0.49849,2.85384,1.18667,0.00066487,0.00066487,0.00066487
24,43.213,0.42576,1.6463,1.07004,1,0.03567,0.62201,0.5539,0.57074,2.83264,1.25459,0.000685416,0.000685416,0.000685416
25,44.9322,0.43049,1.55328,1.11215,1,0.11767,0.59735,0.52876,0.47772,2.7405,1.17973,0.00070522,0.00070522,0.00070522
26,46.6987,0.42242,1.49306,1.06409,0.92879,0.24606,0.59348,0.52759,0.45145,2.8236,1.09483,0.000724281,0.000724281,0.000724281
27,48.3994,0.43116,1.48754,1.12674,0.90792,0.18397,0.57906,0.5254,0.46426,2.89743,1.06227,0.0007426,0.0007426,0.0007426
28,50.1121,0.35407,1.47933,1.09258,0.83716,0.125,0.49733,0.47923,0.35852,2.91409,0.90254,0.000760176,0.000760176,0.000760176
29,51.8528,0.41696,1.4365,1.0727,0.83716,0.125,0.49733,0.47923,0.35852,2.91409,0.90254,0.00077701,0.00077701,0.00077701
30,53.5446,0.42178,1.53779,1.09693,0.81292,0.23214,0.49376,0.48527,0.30518,2.92065,0.8792,0.000793101,0.000793101,0.000793101
31,55.2528,0.39841,1.42638,1.05033,0.82541,0.19643,0.47939,0.47315,0.262,2.96358,0.78869,0.00080845,0.00080845,0.00080845
32,57.0778,0.36789,1.34077,1.05042,0.85301,0.20034,0.46645,0.46402,0.24359,2.99209,0.71128,0.000823056,0.000823056,0.000823056
33,58.7347,0.37763,1.46512,1.06181,0.85301,0.20034,0.46645,0.46402,0.24359,2.99209,0.71128,0.00083692,0.00083692,0.00083692
34,60.4442,0.388,1.35632,1.02237,0.83147,0.23214,0.48969,0.45423,0.38639,2.98822,0.89341,0.000841625,0.000841625,0.000841625
35,62.1799,0.35877,1.25074,1.0368,0.58442,0.28409,0.54607,0.47225,0.44536,2.82481,0.955,0.00082925,0.00082925,0.00082925
36,63.9436,0.38239,1.35397,1.08041,0.61385,0.32305,0.52421,0.47586,0.35026,2.71597,0.83083,0.000816875,0.000816875,0.000816875
37,65.5904,0.34228,1.37862,1.06374,0.61385,0.32305,0.52421,0.47586,0.35026,2.71597,0.83083,0.0008045,0.0008045,0.0008045
38,67.3278,0.35274,1.24764,0.98548,0.57041,0.27273,0.45409,0.38931,0.4275,2.9855,0.89915,0.000792125,0.000792125,0.000792125
39,69.1269,0.36854,1.33984,1.02429,0.82288,0.14286,0.41516,0.31259,0.70375,3.99608,1.15724,0.00077975,0.00077975,0.00077975
40,70.8345,0.45283,1.37235,1.18159,0.79315,0.19377,0.3406,0.27008,0.58235,4.66866,1.0136,0.000767375,0.000767375,0.000767375
41,72.5049,0.36785,1.15602,1.00434,0.79315,0.19377,0.3406,0.27008,0.58235,4.66866,1.0136,0.000755,0.000755,0.000755
42,74.2804,0.37856,1.25902,1.01119,0.31405,0.28466,0.34024,0.30105,0.49583,3.76563,0.9991,0.000742625,0.000742625,0.000742625
43,75.9776,0.37312,1.20783,1.01045,0.29968,0.32205,0.37327,0.34361,0.40889,3.29934,0.95094,0.00073025,0.00073025,0.00073025
44,77.699,0.36004,1.14148,1.04117,0.30738,0.39185,0.41627,0.39098,0.33543,3.0363,0.85108,0.000717875,0.000717875,0.000717875
45,79.4552,0.34511,1.15195,1.02619,0.30738,0.39185,0.41627,0.39098,0.33543,3.0363,0.85108,0.0007055,0.0007055,0.0007055
46,81.1574,0.35985,1.18206,1.04275,0.37992,0.70027,0.52296,0.49674,0.3145,2.37607,0.79672,0.000693125,0.000693125,0.000693125
47,82.8479,0.37175,1.18127,1.04473,0.40172,0.78021,0.55947,0.52124,0.32521,2.11773,0.79162,0.00068075,0.00068075,0.00068075
48,84.6423,0.36291,1.2071,1.03301,0.4022,0.72896,0.59263,0.53785,0.38144,1.89288,0.85736,0.000668375,0.000668375,0.000668375
49,86.3176,0.3073,1.19005,1.00381,0.4022,0.72896,0.59263,0.53785,0.38144,1.89288,0.85736,0.000656,0.000656,0.000656
50,88.0216,0.33604,1.22917,1.01355,0.46291,0.69192,0.65714,0.58917,0.38915,1.74829,0.87096,0.000643625,0.000643625,0.000643625
51,89.8256,0.33437,1.09808,0.99038,0.57453,0.74953,0.76865,0.68814,0.41954,1.5027,0.88245,0.00063125,0.00063125,0.00063125
52,91.5123,0.31665,1.03379,1.01983,0.57454,0.88069,0.84482,0.75051,0.48999,1.38604,0.95392,0.000618875,0.000618875,0.000618875
53,93.1819,0.30734,0.95607,1.00624,0.57454,0.88069,0.84482,0.75051,0.48999,1.38604,0.95392,0.0006065,0.0006065,0.0006065
54,94.9498,0.28221,0.92977,0.99546,0.58277,0.88317,0.8583,0.78334,0.47331,1.38109,0.93625,0.000594125,0.000594125,0.000594125
55,96.727,0.31059,0.94933,0.97565,0.55487,0.90449,0.85752,0.79274,0.41017,1.40219,0.87541,0.00058175,0.00058175,0.00058175
56,98.4499,0.36505,1.05974,0.99374,0.54333,0.88405,0.85849,0.83162,0.34205,1.47403,0.82301,0.000569375,0.000569375,0.000569375
57,100.163,0.3128,1.11421,1.00886,0.54333,0.88405,0.85849,0.83162,0.34205,1.47403,0.82301,0.000557,0.000557,0.000557
58,101.909,0.33562,1.00992,1.01931,0.78004,0.61507,0.76001,0.7334,0.31306,1.70133,0.80638,0.000544625,0.000544625,0.000544625
59,103.605,0.32536,1.14144,1.01533,0.37469,0.85627,0.69184,0.6598,0.28962,2.07785,0.77397,0.00053225,0.00053225,0.00053225
60,105.359,0.3361,0.94186,1.05013,0.35531,0.77499,0.65984,0.63604,0.27859,2.61674,0.74519,0.000519875,0.000519875,0.000519875
61,107.087,0.30965,1.07485,1.00578,0.35531,0.77499,0.65984,0.63604,0.27859,2.61674,0.74519,0.0005075,0.0005075,0.0005075
62,108.773,0.3641,0.97899,1.04158,0.36771,0.79372,0.67391,0.66168,0.28346,2.51623,0.73012,0.000495125,0.000495125,0.000495125
63,110.481,0.35131,0.96831,1.02998,0.53345,0.80093,0.72278,0.71154,0.27484,1.83875,0.73204,0.00048275,0.00048275,0.00048275
64,112.3,0.2979,0.91263,0.99068,0.55953,0.89492,0.82845,0.8183,0.2429,1.27302,0.69585,0.000470375,0.000470375,0.000470375
65,113.943,0.30153,0.99111,0.97736,0.55953,0.89492,0.82845,0.8183,0.2429,1.27302,0.69585,0.000458,0.000458,0.000458
66,115.658,0.27126,0.82892,0.95887,0.58768,0.88426,0.86676,0.85638,0.22401,1.1798,0.6719,0.000445625,0.000445625,0.000445625
67,117.447,0.3036,0.866,0.99868,0.63976,0.91449,0.89607,0.88622,0.20764,1.25496,0.65978,0.00043325,0.00043325,0.00043325
68,119.163,0.36744,0.97943,1.03845,0.66901,0.84747,0.89728,0.87989,0.23218,1.38422,0.68269,0.000420875,0.000420875,0.000420875
69,120.814,0.30046,1.06588,0.94928,0.66901,0.84747,0.89728,0.87989,0.23218,1.38422,0.68269,0.0004085,0.0004085,0.0004085
70,122.606,0.29415,0.9594,0.99172,0.64216,0.86965,0.848,0.82891,0.23864,1.34173,0.68915,0.000396125,0.000396125,0.000396125
71,124.301,0.28934,0.94853,1.00596,0.67118,0.83213,0.86741,0.85404,0.23265,1.23727,0.68772,0.00038375,0.00038375,0.00038375
72,125.995,0.27953,0.95149,0.97527,0.65494,0.86274,0.86614,0.84731,0.26203,1.26318,0.72017,0.000371375,0.000371375,0.000371375
73,127.765,0.30963,0.95765,0.96924,0.65494,0.86274,0.86614,0.84731,0.26203,1.26318,0.72017,0.000359,0.000359,0.000359
74,129.497,0.25784,0.94084,0.96327,0.67878,0.85944,0.88068,0.84876,0.28556,1.23128,0.73618,0.000346625,0.000346625,0.000346625
75,131.196,0.34364,0.9886,1.06828,0.67322,0.91817,0.87957,0.84014,0.28586,1.15698,0.73188,0.00033425,0.00033425,0.00033425
76,132.999,0.26038,0.82251,0.94778,0.68921,0.94541,0.87703,0.8387,0.27766,1.07868,0.72318,0.000321875,0.000321875,0.000321875
77,134.749,0.30179,0.96209,1.05418,0.68921,0.94541,0.87703,0.8387,0.27766,1.07868,0.72318,0.0003095,0.0003095,0.0003095
78,136.473,0.26474,0.83702,0.97606,0.70755,0.8817,0.8767,0.8483,0.26866,1.04528,0.71242,0.000297125,0.000297125,0.000297125
79,138.241,0.2902,0.90969,1.00852,0.69867,0.87357,0.86481,0.84618,0.27098,1.09966,0.71522,0.00028475,0.00028475,0.00028475
80,139.997,0.27231,0.79374,0.9822,0.73438,0.86008,0.86846,0.85605,0.2544,1.1539,0.69918,0.000272375,0.000272375,0.000272375
81,141.673,0.29819,0.8643,0.98104,0.73438,0.86008,0.86846,0.85605,0.2544,1.1539,0.69918,0.00026,0.00026,0.00026
82,143.424,0.27474,0.89257,0.94985,0.71244,0.91075,0.89983,0.88991,0.23068,1.17408,0.67817,0.000247625,0.000247625,0.000247625
83,145.238,0.23218,0.74166,0.9586,0.71037,0.91219,0.89351,0.88146,0.20699,1.14651,0.65822,0.00023525,0.00023525,0.00023525
84,146.926,0.2554,0.74019,0.9789,0.71834,0.89919,0.88785,0.87653,0.20241,1.13925,0.65153,0.000222875,0.000222875,0.000222875
85,148.617,0.27024,0.9009,0.92051,0.71834,0.89919,0.88785,0.87653,0.20241,1.13925,0.65153,0.0002105,0.0002105,0.0002105
86,150.411,0.30673,0.94598,1.01436,0.7294,0.8888,0.88334,0.87253,0.22144,1.13448,0.66889,0.000198125,0.000198125,0.000198125
87,152.131,0.26078,0.82242,0.94047,0.74116,0.89604,0.89499,0.8851,0.25165,1.10185,0.69684,0.00018575,0.00018575,0.00018575
88,153.834,0.30343,0.9819,1.07486,0.75131,0.89604,0.89895,0.88617,0.27249,1.0834,0.71534,0.000173375,0.000173375,0.000173375
89,155.641,0.24534,0.79354,0.9594,0.75131,0.89604,0.89895,0.88617,0.27249,1.0834,0.71534,0.000161,0.000161,0.000161
