epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,774.261,0.4853,2.04607,1.21074,0.72448,0.53493,0.84987,0.83009,0.42701,3.08548,1.07583,0.00332637,0.00332637,0.00332637
2,1557.77,0.33831,1.04926,1.03373,0.52986,0.74459,0.64353,0.61997,0.41463,3.882,1.12458,0.00659378,0.00659378,0.00659378
3,2317.05,0.36075,0.83919,1.03269,0.80777,0.75,0.88646,0.8681,0.35705,0.83788,0.9668,0.00979518,0.00979518,0.00979518
4,3092.06,0.35258,0.72063,1.01915,0.61712,0.85417,0.82924,0.81586,0.303,1.14207,0.81013,0.009703,0.009703,0.009703
5,3851.74,0.31057,0.61373,0.99275,0.47644,0.82801,0.65615,0.65256,0.29953,2.22699,0.82755,0.009604,0.009604,0.009604
